country,currency,capital_city,region,continent,gdp,agricultural_land,forest_area,land_area,inflation,co2_emissions,health_expenditure_capita,hospital_beds,suicide_rate,birth_rate,death_rate,fertility_rate,internet_pct,life_expectancy,population_female,population_male,population,rural_population,urban_population,democracy_type,median_age,Density (P/Km²),Land Area (Km²),World Share
Brunei,Brunei dollar,Bandar Seri Begawan,South-Eastern Asia,Asia,16681500000.0,134.0,3800.0,5270.0,3.68225,9588.0,650.478,2.85,2.7,13.8,5.211,1.778,98.08,75.0,216797,232205,449002,94946,354056,Unknown,28.2,83,5270,0.01
Bulgaria,Bulgarian lev,Sofia,Eastern Europe,Europe,89040400000.0,50470.0,38930.0,108560.0,15.3253,34138.1,856.705,7.45,9.7,8.5,21.7,1.58,75.2714,72.0,3329964,3135133,6465097,1528155,4936942,Flawed democracy,40.7,64,108560,0.09
Burkina Faso,West African CFA franc,Ouagadougou,Western Africa,Africa,18884600000.0,121430.0,62164.0,273600.0,14.2902,5456.7,54.177,0.4,7.5,35.541,8.958,4.772,21.5798,59.0,11374607,11299155,22673762,15446047,7227715,Hybrid regime,12.9,76,273600,0.27
Burundi,Burundi franc,Bujumbura,Eastern Africa,Africa,3073410000.0,20330.0,2796.4,25680.0,18.8009,713.466,16.4202,0.79,6.2,34.842,7.474,5.078,5.80492,62.0,6488650,6400926,12889576,11031286,1858290,Authoritarian,11.9,463,25680,0.15
Cabo Verde,Cabo Verde escudo,Praia,Western Africa,Africa,2314820000.0,790.0,457.2,4030.0,1.86215,620.6,176.024,2.1,12.9,16.951,6.028,1.896,69.7623,74.0,298239,294911,593149,192507,400642,Flawed democracy,22.9,138,4030,0.01
Cambodia,Cambodian riel,Phnom Penh,South-Eastern Asia,Asia,29956800000.0,57890.0,80683.7,176520.0,5.3437,18652.8,115.765,0.9,4.9,19.334,6.838,2.344,60.1524,70.0,8468316,8299527,16767842,12556766,4211076,Authoritarian,22.7,95,176520,0.21
Cameroon,Central African CFA franc,Yaoundé,Middle Africa,Africa,44341600000.0,97500.0,203405.0,472710.0,6.24768,9928.4,58.0053,1.3,9.0,34.938,8.582,4.463,45.6022,60.0,13992014,13922522,27914536,11519492,16395044,Authoritarian,13.6,56,472710,0.34
Canada,Canadian dollar,Ottawa,Northern America,Americas,2139840000000.0,577430.0,3469280.0,8965590.0,6.8028,516874.0,6086.08,2.52,11.8,9.6,7.8,1.43,92.834,83.0,19583244,19346659,38929902,7103929,31825973,Full democracy,36.4,4,9093510,0.48
Central African Republic,Central African CFA franc,Bangui,Middle Africa,Africa,2382620000.0,50800.0,223030.0,622980.0,5.58317,236.6,41.9605,1.0,12.3,42.68,11.393,5.978,10.5826,54.0,2790791,2788352,5579144,3173417,2405727,Authoritarian,10.8,8,622980,0.06
Chad,Central African CFA franc,N'Djamena,Middle Africa,Africa,12704100000.0,502380.0,43130.0,1259200.0,5.78803,1568.4,34.8013,0.4,6.4,43.357,12.504,6.255,17.8689,53.0,8827313,8896002,17723315,13458554,4264761,Authoritarian,11.2,13,1259200,0.21
Chile,Chilean peso,Santiago,South America,Americas,301025000000.0,157100.0,182107.0,743532.0,11.6439,84827.8,1478.83,2.06,9.0,11.788,7.426,1.537,90.1934,79.0,9874202,9729531,19603733,2369699,17234034,Flawed democracy,31.3,26,743532,0.25
China,Chinese yuan,Beijing,Eastern Asia,Asia,17963200000000.0,5285080.0,2199780.0,9424700.0,1.97358,10944700.0,583.432,4.31,8.1,7.52,7.18,1.164,73.05,78.0,691528501,720646499,1412175000,514596570,897578430,Authoritarian,34.5,153,9388211,18.47
Colombia,Colombian peso,Bogotá,South America,Americas,343939000000.0,482428.0,591419.0,1109500.0,10.1772,79057.6,477.275,1.71,3.9,14.204,7.735,1.717,73.0284,73.0,26298417,25575607,51874024,9311387,42562637,Flawed democracy,27.2,46,1109500,0.65
Comoros,Comorian franc,Moroni,Eastern Africa,Africa,1242520000.0,1310.0,329.2,1861.0,-4.29487,328.2,80.8244,2.16,5.4,29.398,8.718,3.978,27.3369,63.0,416416,420357,836774,586880,249894,Authoritarian,16.3,467,1861,0.01
Congo,Central African CFA franc,Brazzaville,Middle Africa,Africa,14615500000.0,106280.0,219460.0,341500.0,3.04344,7153.9,80.8084,1.6,6.5,30.691,7.063,4.171,8.65,64.0,2988624,2981800,5970424,1866593,4103831,Authoritarian,14.3,16,341500,0.07
Costa Rica,Costa Rican colon,San José,Central America,Americas,68380800000.0,17615.0,30348.7,51060.0,8.27477,6967.4,953.083,1.1,8.1,11.873,7.192,1.533,82.75,77.0,2590119,2590709,5180829,930373,4250456,Full democracy,29.3,100,51060,0.07
Côte d'Ivoire,West African CFA franc,Yamoussoukro,Western Africa,Africa,70018700000.0,212000.0,28367.1,318000.0,5.27617,10894.9,85.1743,0.4,8.9,33.934,9.001,4.418,45.4255,59.0,13944972,14215570,28160542,13330919,14829623,Hybrid regime,13.8,83,318000,0.34
Croatia,Croatian kuna,Zagreb,Southern Europe,Europe,70964600000.0,15050.0,19391.1,55960.0,10.7806,15626.9,1094.53,5.54,16.4,9.4,16.2,1.62,81.254,76.0,1976858,1877142,3854000,1610240,2243760,Flawed democracy,40.0,73,55960,0.05
Cuba,Cuban peso,Havana,Caribbean,Americas,107352000000.0,64010.0,32420.0,103800.0,,24327.8,1186.16,5.33,14.5,8.922,14.652,1.442,71.1191,74.0,5649497,5562694,11212191,2533843,8678348,Authoritarian,37.2,106,106440,0.15
Cyprus,Euro,Nicosia,Southern Europe,Europe,28439100000.0,1341.29,1725.3,9240.0,8.39548,6771.8,2245.36,3.4,3.6,10.313,7.257,1.321,90.7595,81.0,624713,626775,1251488,414105,837383,Flawed democracy,34.1,131,9240,0.02
